"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"2","2","Envoy of Okinec Ahau","lci","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","11","False","False","0.05"
"4","4","Epic Confrontation","bro","Near Mint","English","","","2025-04-28 06:37:25.550000","176","False","False","0.05"
"1","1","Epic Experiment","otc","Near Mint","English","","","2024-10-31 14:05:19.027000","222","False","False",""
"1","1","Erebor Flamesmith","ltr","Near Mint","English","","","2025-11-17 08:09:05.513000","122","False","False","0.13"
"1","1","Erebos, God of the Dead","ths","Near Mint","Spanish","","","2025-06-08 10:28:28.630000","85","False","False",""
"1","1","Eriette's Lullaby","otj","Near Mint","English","","","2025-04-28 06:37:25.550000","10","False","False","0.09"
"2","2","Eriette's Whisper","woe","Near Mint","English","","","2025-11-24 16:55:32.333000","88","False","False",""
"1","1","Erkenbrand, Lord of Westfold","ltr","Near Mint","English","","","2025-11-24 17:25:14.333000","123","False","False","0.08"
"2","2","Errand-Rider of Gondor","ltr","Near Mint","English","","","2025-04-28 06:37:25.550000","11","False","False","0.08"
"3","3","Erratic Apparition","dsk","Near Mint","English","","","2024-10-22 07:48:59.243000","54","False","False",""
"1","1","Erratic Apparition","dsk","Near Mint","Spanish","","","2025-03-30 08:53:37.013000","54","False","False",""
"1","1","Erudite Wizard","fdn","Near Mint","Spanish","","","2024-11-09 09:34:58.617000","37","False","False",""
"1","1","Eshki Dragonclaw","tdm","Near Mint","Spanish","","","2025-09-17 22:55:14.400000","356","False","False",""
"1","1","Essence Anchor","tdm","Near Mint","Spanish","","","2025-04-16 17:30:44.117000","44","False","False",""
"2","2","Essence Capture","otp","Near Mint","English","","","2025-04-28 06:37:25.550000","10","False","False","0.09"
"1","1","Estrid's Invocation","mh3","Near Mint","Spanish","","","2025-07-04 17:32:19.160000","269","False","False",""
"2","2","Etched Cornfield","dsk","Near Mint","English","","","2024-10-22 10:09:18.127000","258","False","False",""
"1","1","Etched Cornfield","dsk","Near Mint","English","foil","","2024-10-22 10:10:08.750000","258","False","False",""
"1","1","Eternal Taskmaster","j25","Near Mint","Spanish","","","2024-12-06 11:05:23.933000","117","False","False",""
"1","1","Ethereal Armor","dsk","Near Mint","Spanish","","","2025-05-02 08:24:15.807000","7","False","False",""
"1","1","Eumidian Terrabotanist","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","180","False","False","0.08"
"1","1","Eusocial Engineering","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","181","False","False","0.13"
"1","1","Eusocial Engineering","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","181","False","False","0.13"
"1","1","Ever-Watching Threshold","scd","Near Mint","English","","","2025-10-23 22:06:53.673000","50","False","False",""
"1","1","Eviscerator's Insight","mh3","Near Mint","Spanish","","","2025-11-17 08:09:05.513000","93","False","False","0.21"
"4","4","Eviscerator's Insight","mh3","Near Mint","English","","","2025-10-23 22:04:00.727000","93","False","False",""
"1","1","Eviscerator's Insight","mh3","Near Mint","Spanish","","","2025-11-12 10:11:55.850000","93","False","False","0.23"
"1","1","Evolution Sage","lcc","Near Mint","English","","","2025-11-17 08:09:05.513000","240","False","False","2.15"
"4","4","Evolving Wilds","ltc","Near Mint","English","","","2024-11-08 11:53:49.957000","306","False","False",""
"1","1","Evolving Wilds","dsc","Near Mint","Spanish","","","2024-10-21 12:14:58.270000","274","False","False",""
"1","1","Evolving Wilds","40k","Near Mint","English","","","2024-10-18 22:36:56.247000","277","False","False",""
"1","1","Evolving Wilds","bro","Near Mint","Spanish","","","2024-10-21 10:24:28.187000","261","False","False",""
"1","1","Exalted Flamer of Tzeentch","40k","Near Mint","English","","","2024-11-05 10:07:46.837000","119","False","False",""
"1","1","Exhaustion","usg","Near Mint","Spanish","","","2025-07-06 14:20:50.030000","74","False","False",""
"1","1","Exit Specialist","mkm","Near Mint","English","","","2025-11-24 17:25:14.333000","55","False","False","0.19"
"1","1","Exocrine","40k","Near Mint","English","","","2024-10-18 23:00:47.120000","76","False","False",""
"1","1","Exorcise","dsk","Near Mint","English","","","2024-10-22 09:30:19.150000","8","False","False",""
"1","1","Exosuit Savior","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","16","False","False","0.02"
"1","1","Exosuit Savior","eoe","Near Mint","Spanish","","","2025-09-01 16:39:28.257000","16","False","False","0.03"
"1","1","Exosuit Savior","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","16","False","False","0.02"
"1","1","Exosuit Savior","eoe","Near Mint","Spanish","","","2025-08-11 08:58:07.800000","16","False","False","0.06"
"1","1","Exotic Orchard","40k","Near Mint","English","","","2024-10-18 22:37:07.687000","278","False","False",""
"1","1","Exotic Orchard","blc","Near Mint","Spanish","","","2024-10-21 10:38:28.800000","131","False","False",""
"1","1","Exotic Orchard","tdc","Near Mint","Spanish","","","2025-04-16 17:32:54.927000","360","False","False",""
"1","1","Expansion // Explosion","rvr","Near Mint","English","","","2025-05-02 08:23:36.080000","243","False","False",""
"1","1","Expedition Healer","znr","Near Mint","English","","","2025-04-28 06:37:25.550000","13","False","False","0.07"
"4","4","Expedition Map","m3c","Near Mint","English","","","2026-01-07 10:29:37.947000","292","False","False",""
"1","1","Expedition Raptor","bbd","Near Mint","English","","","2025-04-28 06:37:25.550000","92","False","False","0.07"
"1","1","Expedition Skulker","znr","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","101","False","False","0.04"
"1","1","Explore","40k","Near Mint","English","","","2024-10-18 22:38:50.523000","213","False","False",""
"1","1","Expressive Iteration","otc","Near Mint","English","","","2024-10-31 14:04:24.223000","224","False","False",""
"1","1","Exsanguinate","fdn","Near Mint","English","","","2025-01-13 18:49:12.373000","173","False","False",""
"1","1","Extinguisher Battleship","eoe","Near Mint","English","","","2025-08-05 17:25:32.687000","242","False","False",""
"1","1","Extract a Confession","mkm","Near Mint","Spanish","","","2024-11-13 09:22:58.513000","84","False","False",""
"1","1","Extravagant Replication","dsc","Near Mint","Spanish","","","2024-10-21 12:10:54.003000","117","False","False",""
"1","1","Eye Collector","j25","Near Mint","Spanish","","","2024-12-06 11:06:29.110000","439","False","False",""
"1","1","Eyeblight Assassin","cmr","Near Mint","English","","","2025-09-02 19:07:52.480000","123","False","False",""
"1","1","Eyekite","mh1","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","49","False","False","0.10"
"1","1","Fabled Passage","eoc","Near Mint","English","","","2025-08-07 16:48:08.397000","60","False","False",""
"1","1","Fact or Fiction","jvc","Near Mint","English","","","2024-10-21 10:19:39.353000","26","False","False",""
"1","1","Fact or Fiction","cmm","Near Mint","English","","","2024-10-27 22:28:39.353000","91","False","False",""
"3","3","Faerie Macabre","shm","Near Mint","English","","","2024-10-21 11:34:56.677000","66","False","False",""
"1","1","Faerie Seer","mh1","Near Mint","Spanish","","","2024-10-27 22:35:31.260000","51","False","False",""
"1","1","Faerie Vandal","znc","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","26","False","False","0.15"
"2","2","Fairgrounds Trumpeter","mom","Near Mint","Spanish","","","2024-11-08 12:03:53.390000","335","False","False",""
"1","1","Faithless Looting","m3c","Near Mint","English","","","2025-01-17 15:58:04.280000","211","False","False",""
"1","1","Fake Your Own Death","j25","Near Mint","Spanish","","","2024-12-06 11:06:50.153000","440","False","False",""
"1","1","Fake Your Own Death","fdn","Near Mint","English","","","2026-01-13 11:04:22.780000","174","False","False",""
"1","1","Fall from Favor","cmm","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","93","False","False","0.10"
"1","1","Fall from Favor","cmm","Near Mint","English","","","2025-11-24 17:25:14.333000","93","False","False","0.10"
"1","1","Faller's Faithful","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","100","False","False","0.11"
"1","1","Fanatic of Rhonas","mh3","Near Mint","English","","","2024-10-18 23:01:51.170000","152","False","False",""
"4","4","Fanatic of the Harrowing","dsk","Near Mint","English","","","2024-10-22 09:54:00.390000","96","False","False",""
"1","1","Fanatical Firebrand","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","195","False","False","0.10"
"1","1","Fanatical Firebrand","fdn","Near Mint","English","","","2025-10-05 12:51:04.397000","195","False","False",""
"1","1","Fanatical Firebrand","fdn","Near Mint","Spanish","","","2024-11-09 09:25:55.323000","195","False","False",""
"4","4","Fanatical Offering","lci","Near Mint","English","","","2026-01-07 10:28:43.517000","105","False","False",""
"1","1","Fanatical Offering","lci","Near Mint","German","","","2026-01-08 09:39:01.653000","105","False","False",""
"2","2","Fanatical Offering","lci","Near Mint","Spanish","","","2026-01-14 10:32:49.847000","105","False","False",""
"1","1","Fancy Footwork","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","19","False","False","0.17"
"1","1","Fang Guardian","dft","Near Mint","English","","","2025-03-03 13:46:15.447000","162","False","False",""
"1","1","Fanged Flames","mh3","Near Mint","Spanish","","","2025-11-12 10:11:55.850000","118","False","False","0.04"
"2","2","Fangren Marauder","mbs","Near Mint","English","","","2026-01-07 10:28:20.380000","79","False","False",""
"1","1","Farseek","tdc","Near Mint","Spanish","","","2025-04-16 17:31:05.890000","255","False","False",""
"1","1","Farseek","40k","Near Mint","English","","","2024-10-18 22:32:25.160000","214","False","False",""
"1","1","Fathom Mage","fic","Near Mint","English","","","2025-08-07 16:48:22.973000","325","False","False",""
"1","1","Fathom Seer","tsr","Near Mint","English","","","2025-11-24 17:25:14.333000","68","False","False","0.09"
"1","1","Fear of Abduction","dsk","Near Mint","English","","","2024-10-22 09:25:29.407000","9","False","False",""
"1","1","Fear of Being Hunted","dsk","Near Mint","Spanish","","","2025-03-30 09:05:03.013000","134","False","False",""
"1","1","Fear of Burning Alive","dsk","Near Mint","English","","","2024-10-22 08:41:24.967000","135","False","False",""
"1","1","Fear of Exposure","dsk","Near Mint","English","","","2024-10-21 21:01:28.457000","177","False","False",""
"1","1","Fear of Failed Tests","dsk","Near Mint","English","","","2024-10-22 07:46:51.950000","55","False","False",""
"2","2","Fear of Failed Tests","dsk","Near Mint","Spanish","","","2025-07-04 06:18:02.670000","55","False","False",""
"2","2","Fear of Falling","dsk","Near Mint","English","","","2024-10-27 22:42:50.503000","56","False","False",""
"1","1","Fear of Immobility","dsk","Near Mint","English","foil","","2024-10-22 09:34:43.633000","10","False","False",""
"2","2","Fear of Immobility","dsk","Near Mint","English","","","2024-10-22 09:33:13.497000","10","False","False",""
"1","1","Fear of Impostors","dsk","Near Mint","English","","","2024-12-21 09:47:12.047000","57","False","False",""
"1","1","Fear of Infinity","dsk","Near Mint","English","","","2024-10-21 15:39:26.577000","214","False","False",""
"1","1","Fear of Isolation","dsk","Near Mint","English","","","2024-10-22 07:39:03.583000","58","False","False",""
"4","4","Fear of Lost Teeth","dsk","Near Mint","English","","","2024-10-22 09:56:27.833000","97","False","False",""
"1","1","Fear of Sleep Paralysis","dsc","Near Mint","Spanish","","","2024-10-21 12:00:28.637000","12","False","False",""
"1","1","Fear of Surveillance","dsk","Near Mint","English","foil","","2025-07-04 06:19:35.207000","11","False","False",""
"2","2","Fear of Surveillance","dsk","Near Mint","English","","","2024-10-22 09:34:51.310000","11","False","False",""
"1","1","Fear of the Dark","dsk","Near Mint","English","foil","","2024-10-22 09:50:25.217000","98","False","False",""
"1","1","Fear of the Dark","dsk","Near Mint","English","","","2025-05-25 11:23:38.607000","98","False","False","0.06"
"4","4","Fear of the Dark","dsk","Near Mint","English","","","2024-10-27 22:40:43.990000","98","False","False",""
"1","1","Feather of Flight","blb","Near Mint","Spanish","","","2024-10-22 09:23:33.310000","13","False","False",""
"1","1","Feed the Flames","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","137","False","False","0.18"
"1","1","Feed the Swarm","znr","Near Mint","Spanish","","","2025-02-10 11:23:32.807000","102","False","False",""
"2","2","Feed the Swarm","ltc","Near Mint","English","","","2024-11-08 11:53:49.957000","200","False","False",""
"1","1","Feisty Spikeling","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","223","False","False","0.18"
"1","1","Felidar Savior","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","12","False","False","0.04"
"2","2","Fell Gravship","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","101","False","False","0.09"
"1","1","Fell the Pheasant","eld","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","153","False","False","0.10"
"1","1","Felling Blow","fdn","Near Mint","Spanish","","","2024-11-09 09:35:44.757000","105","False","False",""
"1","1","Fellwar Stone","blc","Near Mint","English","","","2024-10-21 10:26:48.600000","269","False","False",""
"1","1","Fellwar Stone","tdc","Near Mint","English","","","2025-07-01 06:00:22.037000","318","False","False",""
"1","1","Fen Hauler","aer","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","58","False","False","0.04"
"1","1","Fen Hauler","aer","Near Mint","English","","","2025-04-28 06:37:25.550000","58","False","False","0.04"
"1","1","Fencing Ace","cmm","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","23","False","False","0.05"
"1","1","Feral Invocation","m20","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","170","False","False","0.08"
"1","1","Feral Invocation","m20","Near Mint","English","","","2025-04-28 06:37:25.550000","170","False","False","0.08"
"1","1","Ferocious Zheng","gs1","Near Mint","English","","","2025-04-28 06:37:25.550000","28","False","False","0.10"
"1","1","Fetid Heath","a25","Near Mint","English","","","2025-06-08 10:09:32.457000","238","False","False",""
"1","1","Fetid Pools","tdc","Near Mint","Spanish","","","2025-04-16 17:32:58.510000","363","False","False",""
"1","1","Field Research","znr","Near Mint","Spanish","","","2024-10-22 07:36:48.757000","58","False","False",""
"1","1","Fiendish Panda","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","120","False","False","0.15"
"2","2","Fierce Witchstalker","eld","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","154","False","False","0.11"
"1","1","Fiery Inscription","ltr","Near Mint","English","","","2024-11-08 09:57:34.833000","126","False","False",""
"1","1","Fiery Islet","who","Near Mint","English","","","2024-11-08 09:57:06.613000","278","False","False",""
"2","2","Fight On!","fin","Near Mint","Spanish","","","2025-06-23 16:34:13.207000","100","False","False","0.05"
"2","2","Filigree Crawler","aer","Near Mint","English","","","2025-04-28 06:37:25.550000","150","False","False","0.07"
"4","4","Final Vengeance","dsk","Near Mint","English","","","2024-12-21 09:46:03.757000","99","False","False",""
"1","1","Finch Formation","blb","Near Mint","English","foil","","2025-11-24 17:25:14.333000","50","False","False","0.08"
"1","1","Fire Diamond","cm2","Near Mint","Spanish","","","2024-10-21 10:35:00.083000","190","False","False",""
"1","1","Fire Diamond","clb","Near Mint","Spanish","","","2025-11-17 08:09:05.513000","313","False","False","0.14"
"1","1","Fire Nation Attacks","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","133","False","False","0.19"
"2","2","Fire Nation Engineer","tla","Near Mint","English","","","2025-11-15 16:30:55.640000","99","False","False",""
"1","1","Fire of Orthanc","ltr","Near Mint","English","","","2024-11-08 11:53:49.957000","127","False","False",""
"1","1","Firebrand Archer","hou","Near Mint","Spanish","","","2024-10-21 10:17:13.773000","92","False","False",""
"1","1","Firebrand Archer","fdn","Near Mint","English","","","2025-10-05 12:49:57.147000","196","False","False",""
"1","1","Firebrand Archer","fdn","Near Mint","Spanish","","","2024-11-09 09:24:05.280000","196","False","False",""
"1","1","Firecannon Blast","xln","Near Mint","English","","","2025-11-24 17:25:14.333000","145","False","False","0.15"
"1","1","Fires of Mount Doom","ltr","Near Mint","English","","","2024-11-08 11:53:49.957000","294","False","False",""
"1","1","First Day of Class","stx","Near Mint","Spanish","","","2025-01-20 10:25:11.843000","102","False","False",""
"1","1","First-Time Flyer","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","49","False","False","0.05"
"1","1","Flamebraider","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","139","False","False","0.58"
"2","2","Flamekin Gildweaver","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","140","False","False","0.12"
"1","1","Flame-Kin Zealot","rav","Near Mint","German","","","2025-01-20 10:21:08.787000","206","False","False",""
"3","3","Flaming Fist Officer","clb","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","19","False","False","0.08"
"1","1","Flaring Cinder","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","225","False","False","0.13"
"1","1","Flatline","who","Near Mint","English","","","2024-11-08 09:57:26.247000","43","False","False",""
"1","1","Flawless Maneuver","onc","Near Mint","English","","","2025-04-09 10:29:25.007000","68","False","False",""
"2","2","Fleeting Distraction","fdn","Near Mint","Spanish","","","2024-11-14 09:23:45.960000","155","False","False",""
"1","1","Fleeting Flight","fdn","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","13","False","False","0.05"
"1","1","Fleeting Flight","fdn","Near Mint","English","","","2024-12-21 09:50:37.190000","13","False","False",""
"1","1","Fleeting Flight","fdn","Near Mint","English","","","2025-11-24 17:25:14.333000","13","False","False","0.05"
"1","1","Flesh Burrower","dsk","Near Mint","Spanish","","","2025-07-04 06:16:44.793000","178","False","False",""
"3","3","Flesh Burrower","dsk","Near Mint","English","","","2024-10-21 21:03:38.197000","178","False","False",""
"1","1","Flesh Burrower","dsk","Near Mint","English","foil","","2024-10-21 20:55:58.857000","178","False","False",""
"1","1","Flick a Coin","woe","Near Mint","English","","","2025-01-13 18:46:30.863000","128","False","False",""
"1","1","Flickerwisp","2xm","Near Mint","English","","","2024-10-22 09:25:14.827000","16","False","False",""
"1","1","Flight-Deck Coordinator","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","17","False","False","0.08"
"1","1","Flight-Deck Coordinator","eoe","Near Mint","Spanish","","","2025-08-11 08:58:07.800000","17","False","False","0.07"
"1","1","Flight-Deck Coordinator","eoe","Near Mint","Spanish","","","2025-09-01 16:39:28.257000","17","False","False","0.05"
"1","1","Flitterwing Nuisance","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","304","False","False","2.35"
"2","2","Flock Impostor","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","16","False","False","0.44"
"1","1","Flood the Engine","dft","Near Mint","English","foil","","2025-05-25 11:23:38.607000","42","False","False","0.11"
"1","1","Flooded Grove","otc","Near Mint","English","","","2024-10-31 14:05:01.083000","297","False","False",""
"1","1","Floodpits Drowner","dsk","Near Mint","English","","","2024-10-22 07:42:56.213000","59","False","False",""
"1","1","Floral Evoker","tdc","Near Mint","Spanish","","","2025-04-16 17:27:42.223000","46","False","False",""
"1","1","Fly","afr","Near Mint","English","","","2024-10-22 07:37:08.463000","59","False","False",""
"1","1","Focus Fire","eoe","Near Mint","English","","","2025-09-17 22:51:06.530000","18","False","False",""
"1","1","Focus Fire","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","18","False","False","0.03"
"1","1","Focus Fire","eoe","Near Mint","English","","","2025-09-01 16:39:28.257000","18","False","False","0.04"
"1","1","Focus Fire","eoe","Near Mint","Spanish","","","2025-09-01 16:39:28.257000","18","False","False","0.04"
"1","1","Foggy Swamp Hunters","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","101","False","False","0.05"
"1","1","Foggy Swamp Spirit Keeper","tla","Near Mint","English","","","2025-11-15 16:33:07.270000","222","False","False","0.27"
"2","2","Foraging Wickermaw","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","256","False","False","0.16"
"2","2","Foray of Orcs","ltr","Near Mint","English","","","2024-11-08 11:53:49.957000","128","False","False",""
"1","1","Forbidden Alchemy","tdc","Near Mint","Spanish","","","2025-04-16 17:31:42.760000","152","False","False",""
"1","1","Foreboding Landscape","tdc","Near Mint","Spanish","","","2025-04-16 17:33:03.173000","365","False","False",""
"1","1","Foreboding Landscape","tdc","Near Mint","Spanish","","","2025-11-12 10:11:55.850000","365","False","False","0.17"
"1","1","Foreboding Ruins","ncc","Near Mint","English","","","2025-01-13 18:44:11.143000","403","False","False",""
"1","1","Foresee","tsr","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","69","False","False","0.08"
"40","40","Forest","woe","Near Mint","Spanish","","","2025-01-30 14:17:00.493000","276","False","False",""
"6","6","Forest","woe","Near Mint","Spanish","","","2024-11-08 12:03:53.390000","275","False","False",""
"5","5","Forest","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","271","False","False",""
"6","6","Forest","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","270","False","False",""
"3","3","Forest","tdm","Near Mint","Spanish","","","2025-04-16 17:33:09.463000","285","False","False",""
"3","3","Forest","tdm","Near Mint","Spanish","","","2025-04-16 17:33:13.900000","286","False","False",""
"9","9","Forest","40k","Near Mint","English","","","2024-10-18 23:20:35.800000","317","False","False",""
"1","1","Forgotten Monument","lci","Near Mint","English","","","2025-05-15 08:44:41.130000","272","False","False",""
"1","1","Formation Breaker","tdm","Near Mint","Spanish","","","2025-06-29 09:18:10.950000","143","False","False",""
"2","2","Fortifying Provisions","eld","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","13","False","False","0.09"
"1","1","Fortress Kin-Guard","tdm","Near Mint","Spanish","","","2025-06-25 07:00:42.813000","12","False","False",""
"4","4","Found Footage","dsk","Near Mint","English","","","2024-10-22 10:03:18.880000","246","False","False",""
"1","1","Fountainport Bell","blb","Near Mint","Spanish","","","2024-11-21 10:24:52.707000","245","False","False",""
"1","1","Frantic Search","ulg","Near Mint","English","","","2025-07-06 14:19:16.920000","32","False","False",""
"1","1","Frantic Search","ulg","Near Mint","Spanish","","","2025-07-06 14:21:01.983000","32","False","False",""
"1","1","Frantic Search","dmr","Near Mint","English","","","2024-10-21 11:08:39.740000","51","False","False",""
"2","2","Frantic Strength","dsk","Near Mint","Spanish","","","2025-03-30 09:03:54.307000","179","False","False",""
"4","4","Frantic Strength","dsk","Near Mint","English","","","2024-10-21 21:01:20.737000","179","False","False",""
"1","1","Frantic Strength","dsk","Near Mint","Spanish","","","2025-08-05 16:30:28.470000","179","False","False","0.16"
"1","1","Freed from the Real","sok","Near Mint","Spanish","","","2025-05-16 09:28:15.953000","38","False","False",""
"3","3","Freestrider Commando","otj","Near Mint","English","","","2025-04-28 06:37:25.550000","162","False","False","0.04"
"1","1","Frenzied Baloth","eoe","Near Mint","Spanish","","","2025-08-05 17:29:36.533000","183","False","False",""
"1","1","Fresh Start","tdm","Near Mint","English","","","2025-07-09 06:03:08.777000","46","False","False",""
"1","1","Fretwork Colony","kld","Near Mint","English","","","2025-04-28 06:37:25.550000","83","False","False","0.05"
"4","4","Friendly Ghost","dsk","Near Mint","English","","","2024-10-22 09:37:34.243000","12","False","False",""
"1","1","Friendly Ghost","dsk","Near Mint","Spanish","","","2025-03-30 09:03:12.267000","12","False","False",""
"1","1","Friendly Ghost","dsk","Near Mint","Spanish","","","2025-08-05 16:30:28.470000","12","False","False","0.03"
"1","1","Friendly Teddy","dsk","Near Mint","English","","","2024-10-22 10:02:29.570000","247","False","False",""
"1","1","Friendly Teddy","dsk","Near Mint","English","foil","","2024-10-22 10:01:20.657000","247","False","False",""
"1","1","Frilled Sparkshooter","blb","Near Mint","English","","","2025-11-24 17:25:14.333000","136","False","False","0.05"
"1","1","Frilled Sparkshooter","blb","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","136","False","False","0.05"
"1","1","Frodo, Determined Hero","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","289","False","False",""
"1","1","Frontier Bivouac","40k","Near Mint","English","","","2024-10-18 22:37:32.227000","281","False","False",""
"1","1","Frontier Bivouac","tdm","Near Mint","English","","","2025-05-18 06:34:28.530000","256","False","False",""
"1","1","Frontier Seeker","otj","Near Mint","English","","","2025-04-28 06:37:25.550000","13","False","False","0.04"
"2","2","Frontline War-Rager","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","134","False","False","0.03"
"1","1","Frostboil Snarl","ltc","Near Mint","English","","","2024-10-21 11:07:37.840000","312","False","False",""
"1","1","Frostcliff Siege","tdm","Near Mint","Spanish","","","2025-05-09 13:27:07.940000","187","False","False",""
"1","1","Fuel the Flames","dft","Near Mint","English","","","2025-03-03 13:46:07.967000","126","False","False",""
"1","1","Fuel the Flames","dft","Near Mint","English","","","2025-05-25 11:23:38.607000","126","False","False","0.09"
"1","1","Full Bore","eoe","Near Mint","English","","","2025-09-01 16:39:28.257000","135","False","False","0.11"
"1","1","Fungal Colossus","eoe","Near Mint","Spanish","foil","","2025-08-21 20:56:37.747000","184","False","False","0.08"
"1","1","Fungal Colossus","eoe","Near Mint","English","","","2025-09-17 22:51:50.270000","184","False","False",""
"3","3","Fungal Colossus","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","184","False","False","0.05"
"1","1","Fungal Colossus","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","184","False","False","0.05"
"1","1","Furious Bellow","dmu","Near Mint","Spanish","","","2024-10-22 08:27:58.423000","126","False","False",""
"1","1","Furious Forebear","tdm","Near Mint","Spanish","","","2025-06-29 09:17:10.653000","13","False","False",""
"1","1","Fyndhorn Brownie","ice","Near Mint","Spanish","","","2024-10-21 21:13:52.690000","242","False","False",""
"1","1","Fynn, the Fangbearer","fca","Near Mint","English","","","2025-06-23 16:37:23.813000","46","False","False",""
"2","2","Gaea's Might","dmu","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","164","False","False","0.04"
"2","2","Galactic Wayfarer","eoe","Near Mint","Spanish","","","2025-08-21 20:56:37.747000","185","False","False","0.06"
"1","1","Galactic Wayfarer","eoe","Near Mint","English","","","2025-08-21 20:56:37.747000","185","False","False","0.06"
"1","1","Galadhrim Bow","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","167","False","False",""
"2","2","Galadhrim Guide","ltr","Near Mint","English","","","2025-11-24 17:25:14.333000","168","False","False","0.06"
"1","1","Galadriel, Gift-Giver","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","296","False","False",""
"1","1","Gallant Cavalry","m19","Near Mint","Spanish","","","2024-10-23 09:42:32.557000","12","False","False",""
"1","1","Gallant Citizen","spm","Near Mint","Spanish","","","2025-09-30 06:53:47.817000","129","False","False","0.02"
"1","1","Gallant Fowlknight","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","17","False","False","0.08"
"1","1","Gallant Strike","dft","Near Mint","English","","","2025-03-03 13:46:25.200000","13","False","False",""
"1","1","Galuf's Final Act","fin","Near Mint","English","","","2025-07-01 06:01:31.870000","186","False","False",""
"1","1","Galvanic Discharge","mh3","Near Mint","Spanish","","","2025-11-17 08:09:05.513000","122","False","False","0.11"
"1","1","Galvanizing Sawship","eoe","Near Mint","Spanish","","","2025-09-01 16:39:28.257000","136","False","False","0.09"
"1","1","Game Trail","40k","Near Mint","English","","","2024-10-18 23:06:33.837000","282","False","False",""
"1","1","Gandalf, White Rider","ltr","Near Mint","English","","","2024-11-08 11:51:52.473000","290","False","False",""
"1","1","Gangly Stompling","ecl","Near Mint","Spanish","","","2026-01-19 17:35:55.460000","226","False","False","0.12"
"3","3","Garenbrig Carver // Shield's Might","eld","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","156","False","False","0.07"
"1","1","Garenbrig Paladin","eld","Near Mint","Spanish","","","2025-11-24 17:25:14.333000","157","False","False","0.03"
"2","2","Garenbrig Squire","eld","Near Mint","Spanish","","","2025-04-28 06:37:25.550000","158","False","False","0.03"
"1","1","Gargoyle Flock","40k","Near Mint","English","","","2024-10-21 15:45:44.050000","123","False","False",""
"1","1","Garruk's Uprising","wot","Near Mint","Spanish","","","2025-04-21 13:06:37.713000","53","False","False",""
"1","1","Garruk's Uprising","fdn","Near Mint","English","","","2025-10-05 12:51:49.157000","220","False","False",""
